stock symbol,closing price,amount,120d avg,180d avg,diff7+,52w low,52w high,sector,range,range7+,range30+,diff7+,vwapd7+,120d7+,180d7+,52ld7+,52hd7+,values,headings
LEMF,10.6,1163651.4,10.006419,10.26294,0.9433897,9.26,17.58,Mutual Fund,0.56603265,8.3018875,51.037743,0.9433897,-0.5714901,18.282106,6.1820498,53.490547,-338.96225,0.56603265,range
NICGF,12.4,667304.0,11.56225,12.477034,-1.7741995,10.87,17.96,Mutual Fund,1.2096744,5.9677324,48.306427,-1.7741995,2.7215345,29.828619,-7.057813,57.741936,-228.14514,1.2096744,range
KEF,9.3,293586.89,9.320494,9.555126,0.32259336,8.89,11.34,Mutual Fund,1.3978506,10.645148,60.537613,0.32259336,-0.016156705,-3.682444,-16.297094,19.46236,-112.25806,1.3978506,range
NMB50,13.19,230144.3,12.052222,12.7136135,-3.1084116,10.92,17.7,Mutual Fund,1.5921155,13.570888,60.72783,-3.1084116,0.06245885,35.473007,10.401312,78.39272,-178.6202,1.5921155,range
NMBHF1,11.9,47848.1,11.4845,11.957034,-4.201682,10.29,15.95,Mutual Fund,1.6806707,9.915969,52.268894,-4.201682,-2.0454915,16.701683,-3.1526952,66.89076,-170.92436,1.6806707,range
PSF,9.44,376071.35,9.326914,9.531765,0.1059217,8.78,10.97,Mutual Fund,1.9067729,9.957613,74.788124,0.1059217,3.8388016,1.6465026,-9.203665,30.614412,-85.381386,1.9067729,range
LUK,10.4,108717.75,9.912223,10.160755,0.3846143,9.31,15.68,Mutual Fund,1.9230751,13.365389,68.94233,0.3846143,0.12873691,14.9892845,3.0406165,43.942287,-262.3077,1.9230751,range
NICGF,12.4,667304.0,11.56225,12.477034,-1.7741995,10.87,17.96,Mutual Fund,1.2096744,5.9677324,48.306427,-1.7741995,2.7215345,29.828619,-7.057813,57.741936,-228.14514,5.9677324,range7+
NIBLPF,10.65,439365.5,10.445926,11.280925,-4.22536,9.56,19.05,Mutual Fund,2.3474178,8.262895,57.93424,-4.22536,-0.33008912,17.843857,-21.35798,59.436596,-386.10327,8.262895,range7+
LEMF,10.6,1163651.4,10.006419,10.26294,0.9433897,9.26,17.58,Mutual Fund,0.56603265,8.3018875,51.037743,0.9433897,-0.5714901,18.282106,6.1820498,53.490547,-338.96225,8.3018875,range7+
NMBHF1,11.9,47848.1,11.4845,11.957034,-4.201682,10.29,15.95,Mutual Fund,1.6806707,9.915969,52.268894,-4.201682,-2.0454915,16.701683,-3.1526952,66.89076,-170.92436,9.915969,range7+
PSF,9.44,376071.35,9.326914,9.531765,0.1059217,8.78,10.97,Mutual Fund,1.9067729,9.957613,74.788124,0.1059217,3.8388016,1.6465026,-9.203665,30.614412,-85.381386,9.957613,range7+
KEF,9.3,293586.89,9.320494,9.555126,0.32259336,8.89,11.34,Mutual Fund,1.3978506,10.645148,60.537613,0.32259336,-0.016156705,-3.682444,-16.297094,19.46236,-112.25806,10.645148,range7+
CMF2,10.68,558983.75,10.007777,11.101512,3.5580528,9.24,16.7,Mutual Fund,4.2134814,11.048683,58.333336,3.5580528,5.5018387,15.647134,-35.557674,51.59177,-297.6592,11.048683,range7+
NICGF,12.4,667304.0,11.56225,12.477034,-1.7741995,10.87,17.96,Mutual Fund,1.2096744,5.9677324,48.306427,-1.7741995,2.7215345,29.828619,-7.057813,57.741936,-228.14514,48.306427,range30+
LEMF,10.6,1163651.4,10.006419,10.26294,0.9433897,9.26,17.58,Mutual Fund,0.56603265,8.3018875,51.037743,0.9433897,-0.5714901,18.282106,6.1820498,53.490547,-338.96225,51.037743,range30+
NMBHF1,11.9,47848.1,11.4845,11.957034,-4.201682,10.29,15.95,Mutual Fund,1.6806707,9.915969,52.268894,-4.201682,-2.0454915,16.701683,-3.1526952,66.89076,-170.92436,52.268894,range30+
CMF1,10.1,760935.22,9.791357,10.865461,-1.8811812,9.1,15.59,Mutual Fund,1.9802054,11.287131,54.554466,-1.8811812,0.15746059,13.101143,-40.072334,47.326717,-273.9604,54.554466,range30+
SEF,11.47,2775725.0,10.62358,11.097733,-0.61029035,10.17,16.57,Mutual Fund,4.097648,14.298172,57.367058,-0.61029035,-0.4912648,27.917173,7.247925,47.689617,-231.29903,57.367058,range30+
