stock symbol,closing price,amount,120d avg,180d avg,diff7+
BNT,15172,12774485,12295.891,11768.295,-3.3107014
MKLB,1559,6163207,1639.7456,1332.5701,4.041052
MKJC,525,6720312.1,459.45972,459.45972,6.0761857
NYADI,470.1,15373548.6,397.2722,397.2722,10.231867
NFS,695,41811480.8,553.54047,594.1163,16.834532
NIFRA,389,254151957.1,333.4532,372.33926,24.421589
NABBC,615,10313110.7,712.6442,778.8341,19.593512
CHL,461,18757002.7,484.4367,521.2906,15.4229965
LEC,376.2,16833253.5,350.0329,384.36322,15.337585
SIFC,507,29957445.2,480.78354,516.9538,15.759366
NIFRA,389,254151957.1,333.4532,372.33926,24.421589
OHL,503.1,15663604.7,492.68863,534.6453,7.771816
SMFDB,1336,1877931,1382.7595,1458.189,14.895209
KPCL,559.5,11070776.8,552.39874,604.035,14.834674
GIMES1,11.35,6834463.36,17.090887,18.914017,3.7885487
HDL,4888,215550767.7,6188.4546,6396.153,16.346151
CORBL,660,7118528.5,833.21765,867.26587,42.33334
NABIL,1140,200255532.5,1424.2872,1438.0759,2.482469
MFIL,816,103888144.6,991.60126,1080.6017,21.691177
